Site: Coral_d18O 	: Aus_03	: slope    : -0.312105313974	: intercept: -4.9403839942	: correl.  : -0.612022313836	: p_value  : 7.53381208591e-13	: var(proxy)/var(resid): 1.59890331256  : SNR  : 0.773888
Site: Coral_d18O 	: Aus_12	: slope    : -0.0836192430378	: intercept: -4.67883051627	: correl.  : -0.242998282406	: p_value  : 0.00699837713343	: var(proxy)/var(resid): 1.06275365334  : SNR  : 0.250507
Site: Coral_d18O 	: Aus_14	: slope    : -0.255272280269	: intercept: -4.24436819722	: correl.  : -0.446374811076	: p_value  : 8.09973417847e-07	: var(proxy)/var(resid): 1.24882995867  : SNR  : 0.498829
Site: Coral_d18O 	: Aus_16	: slope    : -0.175604510105	: intercept: -4.37414057407	: correl.  : -0.329246703269	: p_value  : 0.00028927804146	: var(proxy)/var(resid): 1.12158344995  : SNR  : 0.348688
Site: Coral_d18O 	: Aus_21	: slope    : -0.0921308733807	: intercept: -3.89362558832	: correl.  : -0.397119172331	: p_value  : 1.21636368171e-05	: var(proxy)/var(resid): 1.18723058055  : SNR  : 0.432701
Site: Coral_d18O 	: Aus_22	: slope    : 0.0305708159099	: intercept: 0.0668120283428	: correl.  : 0.070102013297	: p_value  : 0.442917685117	: var(proxy)/var(resid): 1.0049385618   : SNR  : 0.0702749
Site: Coral_d18O 	: Aus_23	: slope    : -0.337434113957	: intercept: -5.19704103411	: correl.  : -0.329212420252	: p_value  : 0.00044509952337	: var(proxy)/var(resid): 1.12155505376  : SNR  : 0.348647
Site: Coral_d18O 	: Aus_24	: slope    : -0.147873875025	: intercept: -4.27216536091	: correl.  : -0.306301513509	: p_value  : 0.000633492501714	: var(proxy)/var(resid): 1.1035342659   : SNR  : 0.321767
Site: Coral_d18O 	: Aus_27	: slope    : -0.125280989446	: intercept: -4.87788144204	: correl.  : -0.200515979189	: p_value  : 0.0365643442302	: var(proxy)/var(resid): 1.04189095313  : SNR  : 0.204673
Site: Coral_d18O 	: Aus_28	: slope    : -0.111835832259	: intercept: -4.44952835436	: correl.  : -0.334288277221	: p_value  : 0.000260911483772	: var(proxy)/var(resid): 1.12580746719  : SNR  : 0.354693
Site: Ice core_d18O 	: Ant_01	: slope    : -7.14899916175	: intercept: -279.625852705	: correl.  : -0.282341074824	: p_value  : 0.00213555150909	: var(proxy)/var(resid): 1.08662165628  : SNR  : 0.294316
Site: Ice core_d18O 	: Ant_02	: slope    : -0.0378039495268	: intercept: -22.3476278294	: correl.  : -0.0412452049069	: p_value  : 0.643898168236	: var(proxy)/var(resid): 1.00170406583  : SNR  : 0.0412803
Site: Ice core_d18O 	: Ant_03	: slope    : -0.483628228328	: intercept: -54.1568073001	: correl.  : -0.142614779002	: p_value  : 0.14281367797	: var(proxy)/var(resid): 1.02076123748  : SNR  : 0.144088
Site: Ice core_d18O 	: Ant_04	: slope    : -0.257115239654	: intercept: -24.7001199524	: correl.  : -0.106331616847	: p_value  : 0.258041353105	: var(proxy)/var(resid): 1.01143570959  : SNR  : 0.106938
Site: Ice core_d18O 	: Ant_05	: slope    : 0.407846652179	: intercept: -45.5527050295	: correl.  : 0.155822328608	: p_value  : 0.0934166658222	: var(proxy)/var(resid): 1.02488481632  : SNR  : 0.157749
Site: Ice core_d18O 	: Ant_06	: slope    : -0.0263357757779	: intercept: -33.9693546209	: correl.  : -0.0191107013409	: p_value  : 0.831796108448	: var(proxy)/var(resid): 1.00036535234  : SNR  : 0.0191142
Site: Ice core_d18O 	: Ant_08	: slope    : 0.0388991707048	: intercept: -32.9702233631	: correl.  : 0.0288245522394	: p_value  : 0.753639441417	: var(proxy)/var(resid): 1.00083154571  : SNR  : 0.0288365
Site: Ice core_d18O 	: Ant_11	: slope    : -0.0280928090459	: intercept: -29.6480232491	: correl.  : -0.0236221061521	: p_value  : 0.811864957318	: var(proxy)/var(resid): 1.00055831544  : SNR  : 0.0236287
Site: Ice core_d18O 	: Arc_05	: slope    : 0.00698956347099	: intercept: -28.7216555876	: correl.  : 0.00927413554109	: p_value  : 0.931659593162	: var(proxy)/var(resid): 1.00008601699  : SNR  : 0.00927453
Site: Ice core_d18O 	: Arc_11	: slope    : 0.357878078294	: intercept: -34.7423121755	: correl.  : 0.363055178664	: p_value  : 0.000112599341862	: var(proxy)/var(resid): 1.15182036243  : SNR  : 0.389641
